Оригинальное название:;Год выпуска:;Страна:;Сезон:;Эпизоды на сайте: ;Продолжительность: ;Студия озвучки:;Режиссер:
"			The Penguin";2024;США;1;1 из 8;1 эп. по 55 м.;RHS; Крэйг Зобел
"			The Boys";2024;США;4;8 из 8;8 эп. по 60 м.;RHS; Филип Сгриккиа, Фред Туа, Сара Бойд, Эрик Крипке, Стефан Шварц
"			Spider-Man";1994;США;2;14 из 14;14 эп. по 22 м.;Студия 616; Боб Ричардсон, Роберт Шеллхорн, Кэйко Оямада
"			Knuckles";2024;США, Япония;1;6 из 6;6 эп. по 30:00 м.;RHS; Кэрол Бенкер, Брэндон Трост, Ged Wright, Джефф Фаулер, Йорма Такконе
"			Invincible";2023;США;2;8 из 8;8 эп. по 45 м.;RHS; Джефф Аллен
"			Spider-Man The Animated Series";1994;США;1;13 из 13;13 эп. по 22 м.;Студия 616; Боб Ричардсон, Роберт Шеллхорн
"			Loki";2023;США;2;6 из 6;6 эп. по 50 м.;RHS; Кейт Херрон
"			Gen V";2023;США;1;8 из 8;8 эп. по 55 м.;RHS; Нельсон Крегг, Стив Бойум, Рэйчел Голдберг
"			Zom 100: Bucket List of the Dead";2023;Япония;1;12 из 12;12 эп. по 25 м.;Студийная Банда; Кадзуки Кавагоэ
"			Ahsoka";2023;США;1;8 из 8;8 эп. по 50 м.;RHS; Дэйв Филони, Стеф Грин, Рик Фамуйива
"			One Piece";2023;США, Япония, ЮАР, Великобритания;1;8 из 8;8 эп. по 55 м.;RHS; Марк Йобст, Тим Соутэм, Эмма Салливан
"			Watashi no Shiawase na Kekkon";2023;Япония;1;12 из 12;12 эп. по 25 м.;Студийная Банда; Юдай Кубота
"			I Am Groot";2023;США;2;5 из 5;5 эп. по 4 м.;RHS; Керстен Лепоре
"			The Witcher";2023;США;3;8 из 8;8 эп. по 01:05:00 м.;RHS; Стивен Серджик, Алик Сахаров, Шарлотта Брандстром
"			Secret Invasion";2023;США;1;6 из 6;6 эп. по 45:00 м.;RHS; Али Селим
"			The Mandalorian";2023;США;3;8 из 8;8 эп. по 45:00 м.;RHS; Рик Фамуйива, Дэйв Филони, Брайс Даллас Ховард
"			The Last of Us";2023;Канада, США;1;9 из 9;9 эп. по 50:00 м.;RHS; Али Аббаси, Джереми Уэбб, Нил Дракманн
"			Wednesday";2022;США;1;8 из 8;8 эп. по 50:00 м.;RHS; Тим Бёртон, Джеймс Маршалл
"			Andor";2022;США;1;12 из 12;12 эп. по 40:00 м.;RHS; Бенджамин Карон, Тоби Хэйнс, Сюзанна Уайт
"			Guillermo del Toro's Cabinet of Curiosities";2022;США;1;8 из 8;8 эп. по 45:00 м.;RHS; Винченцо Натали, Панос Косматос, Гильермо Наварро, Кэтрин Хардвик, Ана Лили Амирпур, Дженнифер Кент, Кит Томас, Дэвид Прайор
"			Star Wars: Tales of the Jedi";2022;США;1;6 из 6;6 эп. по 15:00 м.;RHS; Сол Руис, Чарльз Мюррэй, Натаниэл Вильянуэва
"			The Lord of the Rings: The Rings of Power";2022;США;1;8 из 8;8 эп. по 1:10:00 м.;RHS; Уэйн Йип, Хуан Антонио Байона, Шарлотта Брандстром
"			She-Hulk: Attorney at Law";2022;США;1;9 из 9;9 эп. по 35:00 м.;RHS; Кэт Койро, Ану Валиа
"			Cars on the Road";2022;США;1;9 из 9;9 эп. по 10:00 м.;RHS; Брайан Фи, Бобби Подеста, Стив Пёрселл
"			The Sandman";2022;Великобритания, США;1;11 из 11;11 эп. по 55:00 м.;RHS; Джейми Чайлдс, Андрес Байс, Луиз Хупер
"			I Am Groot";2022;США;1;5 из 5;5 эп. по 5:00 м.;RHS; Керстен Лепоре
"			Baymax";2022;США;1;6 из 6;6 эп. по 10:00 м.;RHS; Дэн Абрахам, Марк Кеннеди, Лисса Трейман
"			Ms. Marvel";2022;США;1;6 из 6;6 эп. по 45:00 м.;RHS; Мира Менон, Шармин Обаид, Адиль Эль Арби, Билал Фалла
"			The Boys";2022;США;3;8 из 8;8 эп. по 1:00:00 м.;RHS; Филип Сгриккиа, Стефан Шварц, Фред Туа
"			Obi-Wan Kenobi";2022;США;1;6 из 6;6 эп. по 45:00 м.;RHS; Дебора Чоу
"			Moon Knight";2022;США;1;6 из 6;6 эп. по 45:00 м.;RHS; Джастин Бенсон, Мохамед Диаб, Аарон Мурхед
"			Peaky Blinders";2013;Великобритания;6;6 из 6;6 эп. по 58:00 м.;RHS; Энтони Бирн, Колм МакКарти, Тим Милантс
